                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1588,                 4.8545,                 1.0865,                0.51593,                0.07744,                0.04657,                0.03763,                 0.8832,                 3.3081,                0.90603,                7.7e-05,                7.7e-05,                7.7e-05
                      2,                0.89521,                 2.6599,                0.90055,                 0.5369,                0.12333,                0.09698,                0.07783,                0.78256,                  2.235,                0.83537,             0.00015324,             0.00015324,             0.00015324
                      3,                0.81606,                 2.0927,                0.87264,                0.67636,                0.15153,                0.12643,                0.10262,                0.75171,                 1.9228,                 0.8284,             0.00022633,             0.00022633,             0.00022633
                      4,                0.80275,                 1.7731,                0.85907,                 0.7131,                0.16319,                0.17113,                0.14041,                0.73047,                 1.6593,                0.82617,             0.00022386,             0.00022386,             0.00022386
                      5,                0.83423,                 1.6685,                0.85144,                 0.7087,                0.20371,                0.21934,                0.18179,                0.73191,                 1.4689,                0.82296,             0.00022386,             0.00022386,             0.00022386
                      6,                 0.7612,                 1.4413,                 0.8486,                0.68338,                0.21718,                 0.2522,                0.21122,                0.70506,                 1.3099,                0.81888,             0.00021915,             0.00021915,             0.00021915
                      7,                  0.732,                 1.2763,                0.84331,                0.67685,                0.24893,                0.28168,                0.23388,                0.70398,                 1.2316,                0.81781,             0.00021444,             0.00021444,             0.00021444
                      8,                0.72077,                 1.1579,                0.84322,                0.75212,                0.25368,                0.30733,                0.25706,                0.72054,                 1.1953,                0.81241,             0.00020973,             0.00020973,             0.00020973
                      9,                 0.7258,                 1.1018,                0.84776,                 0.8141,                0.25339,                 0.3282,                0.27316,                0.74707,                 1.2169,                0.81104,             0.00020501,             0.00020501,             0.00020501
                     10,                0.69335,                 1.0343,                0.84295,                0.87676,                0.27591,                0.34675,                0.28786,                0.76634,                 1.0763,                0.80791,              0.0002003,              0.0002003,              0.0002003
                     11,                0.68106,                0.93565,                0.83789,                0.83009,                0.34156,                 0.3744,                0.31459,                  0.743,                 1.0204,                0.80377,             0.00019559,             0.00019559,             0.00019559
                     12,                0.68459,                0.92837,                0.83553,                0.87033,                0.31887,                0.40204,                0.34335,                0.74288,                 1.0169,                0.80195,             0.00019088,             0.00019088,             0.00019088
                     13,                0.68822,                0.87503,                0.84594,                0.68142,                0.38615,                0.41923,                0.35493,                0.74121,                0.94816,                0.80235,             0.00018616,             0.00018616,             0.00018616
                     14,                0.66601,                0.83436,                0.83349,                0.65422,                0.39155,                0.42547,                0.36221,                0.71986,                0.89643,                0.79895,             0.00018145,             0.00018145,             0.00018145
                     15,                0.68127,                0.84789,                0.83762,                0.80474,                0.35581,                0.43944,                0.37177,                0.70176,                0.86464,                0.79746,             0.00017674,             0.00017674,             0.00017674
                     16,                0.67509,                0.81309,                0.83253,                0.77284,                0.37333,                0.44168,                0.37341,                0.70207,                0.83341,                0.79714,             0.00017203,             0.00017203,             0.00017203
                     17,                0.64902,                0.76711,                0.83684,                0.74969,                0.37874,                0.45245,                0.38122,                0.71171,                0.80726,                0.79858,             0.00016731,             0.00016731,             0.00016731
                     18,                0.63889,                0.74877,                0.83158,                0.71474,                0.40429,                 0.4733,                0.40271,                0.69397,                0.78636,                0.79884,              0.0001626,              0.0001626,              0.0001626
                     19,                0.63248,                0.72135,                0.83106,                0.77579,                0.40602,                0.48177,                0.41148,                0.67886,                0.74674,                0.80044,             0.00015789,             0.00015789,             0.00015789
                     20,                0.63145,                0.68963,                0.83566,                0.77929,                0.40143,                0.49486,                0.41991,                0.70347,                0.76304,                0.79975,             0.00015318,             0.00015318,             0.00015318
                     21,                0.64472,                0.70221,                0.83025,                0.70048,                0.45736,                 0.5097,                0.43407,                0.71026,                 0.7628,                0.79503,             0.00014846,             0.00014846,             0.00014846
                     22,                 0.6155,                  0.643,                0.82998,                0.68905,                0.46501,                0.52138,                0.45014,                0.69952,                0.76302,                 0.7944,             0.00014375,             0.00014375,             0.00014375
                     23,                  0.629,                0.66899,                0.83065,                0.73131,                0.46379,                0.52559,                0.45282,                0.69624,                0.76452,                0.79326,             0.00013904,             0.00013904,             0.00013904
                     24,                0.62821,                0.66382,                0.82089,                0.70856,                0.49936,                0.52927,                0.45312,                0.68573,                 0.7646,                0.79226,             0.00013433,             0.00013433,             0.00013433
                     25,                0.62107,                0.63456,                0.82491,                0.55641,                0.53628,                0.54099,                0.46514,                0.66686,                0.74046,                0.79516,             0.00012961,             0.00012961,             0.00012961
